prompt,response
How do I add or manage multiple delivery addresses?,"Go to Account > Saved Addresses. Click 'Add New Address' and fill in the details. You can save multiple addresses and mark one as default. During checkout you can select any saved address or add a new one."
How do I delete my ShopEase account?,"Go to Account > Settings > Delete Account. This action is permanent and will erase all your order history wishlist and wallet balance. Please make sure any pending orders are delivered and refunds are settled before deleting."
Are the products on ShopEase genuine and authentic?,"Yes, we have a strict seller verification process and zero-tolerance policy for fake products. All electronics come with brand warranty. If you ever receive a counterfeit product please report it immediately and we will issue a full refund and take action against the seller."
How do I know if a product is covered under warranty?,"The warranty information is mentioned on the product page under 'Warranty & Support'. Most electronics come with 1-year manufacturer warranty. Some premium products offer extended warranty options which you can purchase at checkout."
How do I claim warranty on a product I bought from ShopEase?,"For manufacturer warranty contact the brand's service center directly with your ShopEase invoice as proof of purchase. You can download your invoice from My Orders. For some categories like mobiles and laptops we also offer doorstep warranty service."
Can I buy extended warranty for my product?,"Yes, extended warranty plans are available for electronics and appliances at checkout or within 30 days of delivery. Go to My Orders select the product and click 'Buy Extended Warranty'. Plans are provided by Onsitego and OneAssist."
How do I contact ShopEase customer support?,"You can reach us via: Live Chat on the app (available 8AM-11PM) Call us at 1800-XXX-XXXX (toll free 9AM-9PM Mon-Sat) or Email us at support@shopease.in. For order issues the fastest way is to use the 'Help' button directly on your order in My Orders."
What are ShopEase's customer support hours?,"Our live chat and phone support are available from 9AM to 9PM Monday to Saturday. Email support is available 24x7 with responses within 12 hours. For urgent order issues like failed delivery or damaged products our team responds within 2 hours on chat."
How do I write a product review?,"Go to My Orders and find the delivered order. Click 'Rate & Review'. Give a star rating and write your experience. You can also upload photos or videos. Reviews help other customers make informed decisions and are published after moderation within 24 hours."
Can I edit or delete my review after posting?,"Yes, go to Account > My Reviews to see all your posted reviews. You can edit the text and rating or delete the review entirely. Note that once a review is deleted it cannot be recovered."
What is ShopEase Plus membership?,"ShopEase Plus is our premium membership at ₹499/year. Benefits include: Free delivery on all orders no minimum order value Free same-day delivery on eligible orders Early access to sales and exclusive member-only deals Priority customer support."
How do I subscribe to ShopEase Plus?,"Go to Account > ShopEase Plus and click 'Subscribe'. You can pay via any available payment method. Your benefits activate immediately after payment. You can also gift a Plus membership to friends and family."
How do I use the Wishlist feature?,"Click the heart icon on any product to add it to your Wishlist. Go to Account > Wishlist to view all saved items. You can share your wishlist or move items directly to your cart. You'll also receive alerts when wishlisted items go on sale."
What is ShopEase's price match policy?,"If you find the same product cheaper on Flipkart Amazon or Myntra within 24 hours of purchase contact us with the competitor link. We will match the price and refund the difference to your ShopEase Wallet. Price match is applicable on identical products sold by verified sellers."
How do I apply for a refund if I paid via COD?,"For COD orders refunds are issued as ShopEase Wallet credits by default. If you prefer a bank transfer go to My Orders > Refund Status > 'Refund to Bank Account' and enter your account details. Bank refunds take 5-7 business days."
Can I change or modify my order after it's placed?,"You can modify your order only if it has not been packed yet. Modifications allowed include: changing size or colour of fashion items and updating delivery address. To modify go to My Orders and click 'Modify Order'. You cannot add new items to an existing order."
How do I apply for seller registration on ShopEase?,"Visit seller.shopease.in and click 'Register as Seller'. You'll need your GST number bank account details and business PAN. Registration is free and approval takes 3-5 business days. Once approved you can list your products and start selling."
How do I check if a product is available in my pin code?,"On the product page enter your pin code in the 'Check Delivery' box. It will show you the available delivery dates and whether COD is available in your area. If the product is not deliverable to your pin code you'll see an option to get notified when it becomes available."
What should I do if my order is stuck in transit for too long?,"If your order has not moved for more than 5 days go to My Orders and click 'Help' on the order. Select 'Shipment Delayed'. Our team will investigate with the courier partner and update you within 24 hours. If the package is lost we'll issue a full refund or replacement."
How do I download my invoice for an order?,"Go to My Orders and select the order. Click 'Download Invoice'. The invoice will download as a PDF and will be sent to your registered email as well. This invoice can be used for warranty claims reimbursements and tax purposes."
Do you have a mobile app?,"Yes, the ShopEase app is available for free on Android (Google Play Store) and iOS (Apple App Store). The app offers a faster smoother shopping experience exclusive app-only deals and easy order tracking with push notifications."
How do I enable or disable notifications from ShopEase?,"On the app go to Account > Notification Settings. You can toggle on or off: order updates, delivery alerts, sale notifications, and promotional offers. You can also manage email notification preferences from Account > Email Preferences."
What is the minimum order value for free delivery?,"Free delivery is available on all orders above ₹499. For orders below ₹499 a delivery fee of ₹49 is charged. ShopEase Plus members get free delivery on all orders regardless of order value."
How do I report a seller for selling fake products?,"On the product page scroll down and click 'Report this Product'. Select 'Counterfeit or Fake Product' and provide details. You can also email trust@shopease.in. We take all such reports seriously and investigate within 48 hours. Sellers found guilty are permanently banned."
Can I buy in bulk or place a wholesale order?,"Yes, ShopEase Business is available for bulk orders. Visit business.shopease.in to register. Business accounts get exclusive bulk pricing dedicated account manager GST invoicing and priority fulfillment. Minimum order value for bulk pricing is ₹10,000."
How are product prices determined on ShopEase?,"Prices are set by individual sellers. ShopEase does not control seller pricing but we enforce the Maximum Retail Price (MRP) ceiling — sellers cannot charge above MRP. During sale events ShopEase may offer additional platform discounts on top of seller prices."
Is my payment information secure on ShopEase?,"Yes, ShopEase uses 256-bit SSL encryption for all transactions. We are PCI-DSS compliant which is the highest standard for payment security. We never store your full card details. All payments are processed through RBI-approved payment gateways."
How do I report a problem with the ShopEase app or website?,"Go to Account > Help > Report a Bug or email techsupport@shopease.in. Please include a screenshot and description of the issue. Our tech team reviews all reports and releases fixes regularly. You can also rate the app on Play Store or App Store."
What is the Big Billion Days sale and when does it happen?,"Big ShopEase Sale is our flagship annual sale event held every October. It features massive discounts across all categories exclusive bank offers flash deals and no-cost EMI on almost everything. Register for early access notifications on the sale page."
How do I know a sale is genuine and not fake inflated prices?,"ShopEase does not allow sellers to inflate prices before a sale. Our Price Tracker tool on each product page shows the price history for the last 90 days. You can verify that the sale price is a genuine discount compared to the regular price."
What is the return policy during sale periods?,"Return and refund policies remain the same during sale events. The standard 7-day return window for electronics and 30-day window for fashion still applies from the date of delivery. No special restrictions are added during sale periods."
How do I gift a product to someone else?,"Enter the recipient's address as the delivery address during checkout. You can add a personalised gift message in the 'Gift Options' section at checkout. The invoice showing price will not be included in the package — only a gift receipt will be sent."
Can I buy a gift card on ShopEase?,"Yes, ShopEase Gift Cards are available in denominations of ₹500 ₹1000 ₹2000 and ₹5000. They can be purchased and sent digitally via email or WhatsApp. Gift cards are valid for 1 year from the date of purchase and can be used for any product."
How do I redeem a gift card?,"At checkout click 'Apply Gift Card / Voucher' and enter the 16-digit code from your gift card. The balance will be applied to your order. You can use a gift card along with other payment methods if the order value is higher than the card balance."
What should I do if I forgot to apply a coupon before placing the order?,"Unfortunately coupons cannot be applied to orders after they are placed. We recommend always checking for available coupons on the Offers page before checkout. Some coupons are auto-applied at checkout if your cart is eligible."
How do I opt out of promotional emails and SMS from ShopEase?,"Go to Account > Communication Preferences and uncheck promotional emails and SMS. You can still receive transactional messages like order confirmations and delivery updates. Alternatively click 'Unsubscribe' at the bottom of any promotional email."
Are there any hidden charges on ShopEase?,"No, the price you see at checkout is final. It includes the product price delivery charges (if any) and any applicable taxes. All charges are displayed clearly before you confirm your order. There are no surprise fees."
How do I find the best deals on ShopEase?,"Visit the Deals page daily for top offers. You can also: follow brands for exclusive updates set price drop alerts on wishlisted products and check the 'Today's Deals' section on the homepage. Installing the app gives you access to app-exclusive prices."
What should I do if my account is hacked or compromised?,"Immediately change your password from Account > Settings > Change Password. If you cannot access your account contact us at security@shopease.in or call our helpline. We will lock your account review recent activity and restore your access securely."
Does ShopEase ship internationally?,"Currently ShopEase delivers only within India. We deliver to 27,000+ pin codes across all states. International shipping is not available at this time. If you are an NRI you can have orders delivered to your Indian address."
How does ShopEase handle my personal data?,"We collect only the data needed to process your orders and improve your experience. We never sell your personal data to third parties. You can request a full download or deletion of your data from Account > Privacy Settings. We are fully DPDP Act 2023 compliant."
What is Instant Refund on ShopEase?,"Instant Refund means your refund is credited to your ShopEase Wallet or source account within 30 minutes of our pickup agent collecting the returned item. This is available for eligible orders and saves you the usual 5-7 day wait."
How do I contact the seller directly?,"Go to the product page and click on the seller's name. You'll see a 'Contact Seller' button. You can send them a message about product specifications availability or custom orders. Seller response time is typically within 24 hours."
What is ShopEase's policy on product images and descriptions?,"Sellers are responsible for accurate product images and descriptions. If a product significantly differs from what was shown or described it qualifies for a free return and full refund. Report misleading listings via the 'Report Product' button on the product page."
How do I use the size guide for fashion products?,"On any clothing or footwear product page click 'Size Guide' near the size selector. It shows measurements in inches and centimeters for each size. We recommend measuring yourself and comparing with the brand's size chart for the best fit."
Can I pre-order products that are not yet released?,"Yes, pre-orders are available for select upcoming products especially in electronics and gaming. You pay at the time of pre-order and the product ships on its launch date. You can cancel a pre-order any time before it ships for a full refund."
What is the SuperCoin loyalty program?,"SuperCoins are reward points you earn on every purchase — 1 SuperCoin per ₹100 spent. Coins can be redeemed for discounts on future orders (1 coin = ₹1). ShopEase Plus members earn 2x SuperCoins. Coins are valid for 1 year from the date of earning."
How do I check my SuperCoin balance?,"Go to Account > SuperCoins to see your current balance coin history and expiry dates. You can also see how many coins you'll earn on a product before purchasing."
What happens to my coins if I return an order?,"SuperCoins earned on a returned order are deducted from your balance. If you used coins to pay for an order that was returned the coins are reinstated to your account. Expired coins cannot be reinstated."
